"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4"
"4820";"1050010";"1050015";"LD01  ";"2013JJ00";"   279.6";"    19.1";"    17.5"
"4821";"1050010";"1050015";"LD01  ";"2014JJ00";"   281.1";"    19.9";"    18.1"
"4822";"1050010";"1050015";"LD01  ";"2015JJ00";"   287.1";"    20.0";"    18.3"
"4823";"1050010";"1050015";"LD01  ";"2016JJ00";"   290.2";"    20.6";"    18.9"
"4824";"1050010";"1050015";"LD01  ";"2017JJ00";"   295.5";"    21.1";"    19.3"
"4825";"1050010";"1050015";"LD01  ";"2018JJ00";"   298.8";"    21.6";"    19.8"
"4826";"1050010";"1050015";"LD01  ";"2019JJ00";"   302.5";"    22.6";"    20.7"
"4827";"1050010";"1050015";"LD01  ";"2020JJ00";"   306.4";"    23.3";"    21.5"
"4829";"1050010";"1050015";"LD02  ";"2011JJ00";"   477.2";"    20.0";"    18.1"
"4830";"1050010";"1050015";"LD02  ";"2012JJ00";"   487.9";"    20.2";"    18.3"
"4831";"1050010";"1050015";"LD02  ";"2013JJ00";"   497.1";"    20.3";"    18.4"
"4832";"1050010";"1050015";"LD02  ";"2014JJ00";"   497.3";"    21.2";"    18.9"
"4833";"1050010";"1050015";"LD02  ";"2015JJ00";"   509.0";"    21.2";"    19.1"
"4834";"1050010";"1050015";"LD02  ";"2016JJ00";"   517.7";"    21.9";"    19.7"
"4835";"1050010";"1050015";"LD02  ";"2017JJ00";"   529.9";"    22.3";"    20.1"
"4836";"1050010";"1050015";"LD02  ";"2018JJ00";"   538.5";"    22.7";"    20.5"
"4837";"1050010";"1050015";"LD02  ";"2019JJ00";"   548.6";"    24.2";"    21.4"
"4838";"1050010";"1050015";"LD02  ";"2020JJ00";"   558.0";"    24.8";"    22.4"
"4840";"1050010";"1050015";"LD03  ";"2011JJ00";"  1366.4";"    21.3";"    18.7"
"4841";"1050010";"1050015";"LD03  ";"2012JJ00";"  1388.6";"    21.6";"    18.9"
"4842";"1050010";"1050015";"LD03  ";"2013JJ00";"  1404.1";"    21.8";"    18.9"
"4843";"1050010";"1050015";"LD03  ";"2014JJ00";"  1407.6";"    22.7";"    19.5"
"4844";"1050010";"1050015";"LD03  ";"2015JJ00";"  1437.5";"    22.8";"    19.6"
"4845";"1050010";"1050015";"LD03  ";"2016JJ00";"  1455.2";"    23.4";"    20.2"
"4846";"1050010";"1050015";"LD03  ";"2017JJ00";"  1477.1";"    24.0";"    20.7"
"4847";"1050010";"1050015";"LD03  ";"2018JJ00";"  1493.0";"    24.5";"    21.2"
"4848";"1050010";"1050015";"LD03  ";"2019JJ00";"  1508.8";"    26.1";"    22.2"
"4849";"1050010";"1050015";"LD03  ";"2020JJ00";"  1524.1";"    26.7";"    23.1"
"4851";"1050010";"1050015";"LD04  ";"2011JJ00";"   510.5";"    20.3";"    18.4"
"4852";"1050010";"1050015";"LD04  ";"2012JJ00";"   522.0";"    20.6";"    18.6"
"4853";"1050010";"1050015";"LD04  ";"2013JJ00";"   532.4";"    20.8";"    18.7"
"4854";"1050010";"1050015";"LD04  ";"2014JJ00";"   535.7";"    21.6";"    19.2"
"4855";"1050010";"1050015";"LD04  ";"2015JJ00";"   549.2";"    21.7";"    19.4"
"4856";"1050010";"1050015";"LD04  ";"2016JJ00";"   557.3";"    22.4";"    20.0"
"4857";"1050010";"1050015";"LD04  ";"2017JJ00";"   570.0";"    23.1";"    20.4"
"4858";"1050010";"1050015";"LD04  ";"2018JJ00";"   579.7";"    23.4";"    20.9"
"4859";"1050010";"1050015";"LD04  ";"2019JJ00";"   589.9";"    24.8";"    21.8"
"4860";"1050010";"1050015";"LD04  ";"2020JJ00";"   597.4";"    25.3";"    22.6"
"4862";"1050010";"1050015";"PV20  ";"2011JJ00";"   113.5";"    17.3";"    16.1"
"4863";"1050010";"1050015";"PV20  ";"2012JJ00";"   116.6";"    17.4";"    16.2"
"4864";"1050010";"1050015";"PV20  ";"2013JJ00";"   119.0";"    17.5";"    16.1"
"4865";"1050010";"1050015";"PV20  ";"2014JJ00";"   119.5";"    18.1";"    16.8"
"4866";"1050010";"1050015";"PV20  ";"2015JJ00";"   122.9";"    18.3";"    17.1"
"4867";"1050010";"1050015";"PV20  ";"2016JJ00";"   123.9";"    18.8";"    17.7"
"4868";"1050010";"1050015";"PV20  ";"2017JJ00";"   124.9";"    19.3";"    18.2"
"4869";"1050010";"1050015";"PV20  ";"2018JJ00";"   126.0";"    19.7";"    18.7"
"4870";"1050010";"1050015";"PV20  ";"2019JJ00";"   126.9";"    20.7";"    19.6"
"4871";"1050010";"1050015";"PV20  ";"2020JJ00";"   127.8";"    21.6";"    20.4"
"4873";"1050010";"1050015";"PV21  ";"2011JJ00";"    92.9";"    19.6";"    17.8"
"4874";"1050010";"1050015";"PV21  ";"2012JJ00";"    94.3";"    19.8";"    18.0"
"4875";"1050010";"1050015";"PV21  ";"2013JJ00";"    95.9";"    20.0";"    18.2"
"4876";"1050010";"1050015";"PV21  ";"2014JJ00";"    96.9";"    20.7";"    18.5"
"4877";"1050010";"1050015";"PV21  ";"2015JJ00";"    98.4";"    20.8";"    18.8"
"4878";"1050010";"1050015";"PV21  ";"2016JJ00";"    99.4";"    21.5";"    19.4"
"4879";"1050010";"1050015";"PV21  ";"2017JJ00";"   101.7";"    22.0";"    19.8"
"4880";"1050010";"1050015";"PV21  ";"2018JJ00";"   103.0";"    22.5";"    20.3"
"4881";"1050010";"1050015";"PV21  ";"2019JJ00";"   104.7";"    23.7";"    21.2"
"4882";"1050010";"1050015";"PV21  ";"2020JJ00";"   106.4";"    24.2";"    22.0"
"4884";"1050010";"1050015";"PV22  ";"2011JJ00";"    62.3";"    20.6";"    18.4"
"4885";"1050010";"1050015";"PV22  ";"2012JJ00";"    63.7";"    20.9";"    18.7"
"4886";"1050010";"1050015";"PV22  ";"2013JJ00";"    64.7";"    20.9";"    18.8"
"4887";"1050010";"1050015";"PV22  ";"2014JJ00";"    64.7";"    21.8";"    19.4"
"4888";"1050010";"1050015";"PV22  ";"2015JJ00";"    65.8";"    21.9";"    19.6"
"4889";"1050010";"1050015";"PV22  ";"2016JJ00";"    66.9";"    22.8";"    20.2"
"4890";"1050010";"1050015";"PV22  ";"2017JJ00";"    68.9";"    23.0";"    20.5"
"4891";"1050010";"1050015";"PV22  ";"2018JJ00";"    69.8";"    23.5";"    21.0"
"4892";"1050010";"1050015";"PV22  ";"2019JJ00";"    70.9";"    24.6";"    21.9"
"4893";"1050010";"1050015";"PV22  ";"2020JJ00";"    72.2";"    25.2";"    22.7"
"4895";"1050010";"1050015";"PV23  ";"2011JJ00";"   152.3";"    19.5";"    17.9"
"4896";"1050010";"1050015";"PV23  ";"2012JJ00";"   154.7";"    19.8";"    18.1"
"4897";"1050010";"1050015";"PV23  ";"2013JJ00";"   156.8";"    19.9";"    18.2"
"4898";"1050010";"1050015";"PV23  ";"2014JJ00";"   155.2";"    20.9";"    18.8"
"4899";"1050010";"1050015";"PV23  ";"2015JJ00";"   158.5";"    20.9";"    19.0"
"4900";"1050010";"1050015";"PV23  ";"2016JJ00";"   161.3";"    21.5";"    19.6"
"4901";"1050010";"1050015";"PV23  ";"2017JJ00";"   165.2";"    22.0";"    19.9"
"4902";"1050010";"1050015";"PV23  ";"2018JJ00";"   168.3";"    22.4";"    20.4"
"4903";"1050010";"1050015";"PV23  ";"2019JJ00";"   171.6";"    23.7";"    21.3"
"4904";"1050010";"1050015";"PV23  ";"2020JJ00";"   174.5";"    24.5";"    22.1"
"4906";"1050010";"1050015";"PV24  ";"2011JJ00";"    45.5";"    20.6";"    18.6"
"4907";"1050010";"1050015";"PV24  ";"2012JJ00";"    47.2";"    20.6";"    18.8"
"4908";"1050010";"1050015";"PV24  ";"2013JJ00";"    47.9";"    20.9";"    18.9"
"4909";"1050010";"1050015";"PV24  ";"2014JJ00";"    48.2";"    21.8";"    19.4"
"4910";"1050010";"1050015";"PV24  ";"2015JJ00";"    49.5";"    22.1";"    19.7"
"4911";"1050010";"1050015";"PV24  ";"2016JJ00";"    50.4";"    22.7";"    20.3"
"4912";"1050010";"1050015";"PV24  ";"2017JJ00";"    51.6";"    23.0";"    20.7"
"4913";"1050010";"1050015";"PV24  ";"2018JJ00";"    52.4";"    23.8";"    21.3"
"4914";"1050010";"1050015";"PV24  ";"2019JJ00";"    53.6";"    24.9";"    22.2"
"4915";"1050010";"1050015";"PV24  ";"2020JJ00";"    55.2";"    25.7";"    23.1"
"4917";"1050010";"1050015";"PV25  ";"2011JJ00";"   279.3";"    20.2";"    18.2"
"4918";"1050010";"1050015";"PV25  ";"2012JJ00";"   285.9";"    20.4";"    18.4"
"4919";"1050010";"1050015";"PV25  ";"2013JJ00";"   292.3";"    20.4";"    18.4"
"4920";"1050010";"1050015";"PV25  ";"2014JJ00";"   293.9";"    21.2";"    18.9"
"4921";"1050010";"1050015";"PV25  ";"2015JJ00";"   301.0";"    21.2";"    19.1"
"4922";"1050010";"1050015";"PV25  ";"2016JJ00";"   306.0";"    21.9";"    19.7"
"4923";"1050010";"1050015";"PV25  ";"2017JJ00";"   313.1";"    22.3";"    20.1"
"4924";"1050010";"1050015";"PV25  ";"2018JJ00";"   317.9";"    22.8";"    20.5"
"4925";"1050010";"1050015";"PV25  ";"2019JJ00";"   323.5";"    24.3";"    21.4"
"4926";"1050010";"1050015";"PV25  ";"2020JJ00";"   328.3";"    24.8";"    22.4"
"4928";"1050010";"1050015";"PV26  ";"2011JJ00";"   207.5";"    21.0";"    18.9"
"4929";"1050010";"1050015";"PV26  ";"2012JJ00";"   210.1";"    21.4";"    19.2"
"4930";"1050010";"1050015";"PV26  ";"2013JJ00";"   212.8";"    21.5";"    19.3"
